#src dest weight
0 12 4
0 13 6
0 17 4
0 18 1
0 19 4
0 22 2
0 25 5
0 26 5
0 28 5
1 3 1
1 4 6
1 9 2
1 14 5
1 23 3
1 24 5
2 6 8
2 7 8
2 10 4
2 15 5
2 16 7
2 21 8
2 27 5
2 29 2
3 4 6
3 9 2
3 11 7
3 14 5
3 23 3
3 24 5
4 7 5
4 14 5
4 20 4
4 23 6
4 24 2
5 6 5
5 15 6
5 21 3
6 10 5
6 13 5
6 15 5
6 16 6
6 21 5
7 10 8
7 14 5
7 16 4
7 20 3
7 24 5
7 25 5
7 27 4
7 28 5
8 12 4
8 19 5
8 26 5
9 14 5
9 23 3
10 15 2
10 16 6
10 21 5
10 27 5
10 29 5
11 14 5
11 17 5
11 25 5
12 17 4
12 18 4
12 19 2
12 22 4
13 18 6
14 20 3
14 23 3
14 24 3
15 16 6
15 21 5
15 27 6
15 29 6
16 27 3
16 28 5
17 18 4
17 19 3
17 22 2
17 28 5
18 19 4
18 22 2
19 22 3
20 23 5
20 24 3
22 25 5
23 24 5
25 28 2
27 29 5
